-[ RECORD 1 ]---------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 3
movie_id   | 1
user_id    | 3
title      | Interest theory sister what that bit.
content    | White direction should. After exactly concern billion south around. On listen first hold.
rating     | 91.76
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 3
username   | clinechristopher
email      | crosschristopher@fox.org
-[ RECORD 2 ]---------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 4
movie_id   | 1
user_id    | 19
title      | Scientist enough security generation list partner.
content    | Team office activity everything ground. Draw summer meet minute building wish. Minute rule red anything him.
rating     | 38.89
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 19
username   | brittanynguyen
email      | zserrano@hotmail.com
-[ RECORD 3 ]---------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 5
movie_id   | 1
user_id    | 7
title      | Same small student vote everybody.
content    | Base generation attorney far young Congress practice. Suggest soldier detail finally address share suffer deep. Should mention admit hold certain plan clearly peace.
rating     | 71.24
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 7
username   | brownshirley
email      | steven28@shepherd-turner.info
-[ RECORD 4 ]---------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 13
movie_id   | 1
user_id    | 19
title      | Close anyone consider.
content    | Picture movie great big window. Run stand visit structure.
rating     | 99.69
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 19
username   | brittanynguyen
email      | zserrano@hotmail.com
-[ RECORD 5 ]---------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 15
movie_id   | 1
user_id    | 17
title      | Stand simply notice sure year family management wish.
content    | No usually reduce difference spring we. Season become crime another group bank lay. None impact huge white.
rating     | 79.29
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 17
username   | brittanybailey
email      | shawnporter@yahoo.com
-[ RECORD 6 ]---------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 16
movie_id   | 1
user_id    | 16
title      | Travel single writer choose type know newspaper.
content    | Never already call establish interview. Necessary business career trouble. Life last result collection.
rating     | 33.61
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 16
username   | buckanthony
email      | ingramchelsea@sheppard.com
-[ RECORD 7 ]---------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 19
movie_id   | 1
user_id    | 12
title      | Again prepare sound event vote.
content    | Tough everything anything exist break role whatever. Generation reality born debate beat professional. Put message listen draw.
rating     | 15.69
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 12
username   | coffeytyler
email      | alvarezbarbara@yahoo.com
-[ RECORD 8 ]---------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 20
movie_id   | 1
user_id    | 20
title      | Whole computer painting inside consumer sea box.
content    | High leave even hope agreement pressure. Against home anything face once particularly.
rating     | 93.53
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 20
username   | butlerrebecca
